seed,period,slice,threshold,pr_auc,rows,positives,negatives,tp,fp,tn,fn,slip_rate,volume_reduction,manual_review_rate,target_met
0,random_test,0,0.01155068195,0.6648333784295689,38986,320,38666,316,9517,29149,4,0.0125,0.7538664459732064,0.25221874519058124,False
0,future_1,1,0.01155068195,0.1578119290874214,40662,232,40430,225,26315,14115,7,0.03017241379310345,0.3491219391540935,0.6526978505730165,False
0,future_2,2,0.01155068195,0.016492304751431985,60481,93,60388,91,37257,23131,2,0.021505376344086023,0.3830396767569716,0.6175162447710851,False
0,future_3,3,0.01155068195,0.08504625175992099,50443,246,50197,239,24917,25280,7,0.028455284552845527,0.5036157539295177,0.4987015046686359,False
0,future_4,4,0.01155068195,0.42868486069623696,36322,945,35377,869,15386,19991,76,0.08042328042328042,0.5650846595245499,0.447524916028853,False
0,future_5,5,0.01155068195,0.15612729905960232,57437,1504,55933,1385,36297,19636,119,0.07912234042553191,0.3510628788014231,0.6560579417448683,False
1,random_test,0,0.008043021252,0.7262745642113971,38986,320,38666,319,12586,26080,1,0.003125,0.674494387834273,0.33101626224798647,True
1,future_1,1,0.008043021252,0.1435493959823156,40662,232,40430,223,27884,12546,9,0.03879310344827586,0.3103141231758595,0.6912350597609562,False
1,future_2,2,0.008043021252,0.015255001847106264,60481,93,60388,92,38502,21886,1,0.010752688172043012,0.3624229979466119,0.6381177559894843,False
1,future_3,3,0.008043021252,0.07373372208358983,50443,246,50197,241,26714,23483,5,0.02032520325203252,0.46781680180090446,0.53436552147969,False
1,future_4,4,0.008043021252,0.359993945765601,36322,945,35377,890,16395,18982,55,0.0582010582010582,0.5365633038414789,0.47588238533120425,False
1,future_5,5,0.008043021252,0.16180092036310745,57437,1504,55933,1402,37774,18159,102,0.0678191489361702,0.3246562851983623,0.682069049567352,False
2,random_test,0,0.010481772598,0.6843354956573932,38986,320,38666,315,10979,27687,5,0.015625,0.7160554492318834,0.28969373621299954,False
2,future_1,1,0.010481772598,0.13368714004341253,40662,232,40430,224,24653,15777,8,0.034482758620689655,0.39023002720751915,0.6117997147213615,False
2,future_2,2,0.010481772598,0.014945247016260665,60481,93,60388,91,36777,23611,2,0.021505376344086023,0.39098827581638734,0.6095798680577371,False
2,future_3,3,0.010481772598,0.0676513502264457,50443,246,50197,242,24558,25639,4,0.016260162601626018,0.510767575751539,0.4916440338600004,False
2,future_4,4,0.010481772598,0.5372011848290983,36322,945,35377,869,16893,18484,76,0.08042328042328042,0.5224863611951268,0.48901492208578823,False
2,future_5,5,0.010481772598,0.16980275219700133,57437,1504,55933,1386,37159,18774,118,0.07845744680851063,0.33565158314411886,0.6710830997440674,False
3,random_test,0,0.011230816766,0.6715265319993355,38986,320,38666,315,11880,26786,5,0.015625,0.6927533233331609,0.31280459652182835,False
3,future_1,1,0.011230816766,0.1580692196798799,40662,232,40430,224,23955,16475,8,0.034482758620689655,0.40749443482562453,0.5946338104372633,False
3,future_2,2,0.011230816766,0.016295050683997326,60481,93,60388,92,37052,23336,1,0.010752688172043012,0.38643439093859705,0.6141432846679122,False
3,future_3,3,0.011230816766,0.08442378561293655,50443,246,50197,238,24527,25670,8,0.032520325203252036,0.5113851425383987,0.4909501813928593,False
3,future_4,4,0.011230816766,0.5192982169431387,36322,945,35377,879,16908,18469,66,0.06984126984126984,0.5220623568985499,0.4897032101756511,False
3,future_5,5,0.011230816766,0.15734530770475608,57437,1504,55933,1391,36554,19379,113,0.07513297872340426,0.34646809575742404,0.6606368717029093,False
4,random_test,0,0.008843781104,0.6335417252297731,38986,320,38666,318,10824,27842,2,0.00625,0.7200641390368799,0.2857949007335967,True
4,future_1,1,0.008843781104,0.16105021736569533,40662,232,40430,225,26243,14187,7,0.03017241379310345,0.3509027949542419,0.65092715557523,False
4,future_2,2,0.008843781104,0.019939060405257142,60481,93,60388,90,41359,19029,3,0.03225806451612903,0.31511227396171426,0.6853226633157521,False
4,future_3,3,0.008843781104,0.06941427026259982,50443,246,50197,241,26115,24082,5,0.02032520325203252,0.47974978584377553,0.5224907321134746,False
4,future_4,4,0.008843781104,0.35360927814218573,36322,945,35377,874,17477,17900,71,0.07513227513227513,0.5059784605817339,0.505230989482958,False
4,future_5,5,0.008843781104,0.15727313771016257,57437,1504,55933,1396,38024,17909,108,0.07180851063829788,0.3201866518870792,0.6863171823040897,False
5,random_test,0,0.010529394198,0.6882824300372175,38986,320,38666,315,9546,29120,5,0.015625,0.753116433041949,0.2529369517262607,False
5,future_1,1,0.010529394198,0.15411640669942536,40662,232,40430,224,21258,19172,8,0.034482758620689655,0.47420232500618353,0.5283065269785058,False
5,future_2,2,0.010529394198,0.0152268521183873,60481,93,60388,91,34175,26213,2,0.021505376344086023,0.4340763065509704,0.5665580926241299,False
5,future_3,3,0.010529394198,0.08431515210733542,50443,246,50197,240,23266,26931,6,0.024390243902439025,0.536506165707114,0.46599131693198265,False
5,future_4,4,0.010529394198,0.3967136878936466,36322,945,35377,865,13428,21949,80,0.08465608465608465,0.6204313537043842,0.3935080667364132,False
5,future_5,5,0.010529394198,0.15356380709407216,57437,1504,55933,1379,35619,20314,125,0.08311170212765957,0.363184524341623,0.644149241777948,False
6,random_test,0,0.009470202034,0.7301706201577736,38986,320,38666,318,12071,26595,2,0.00625,0.6878135829928103,0.3177807418047504,True
6,future_1,1,0.009470202034,0.17083731881199446,40662,232,40430,226,25933,14497,6,0.02586206896551724,0.3585703685382142,0.6433279228763956,False
6,future_2,2,0.009470202034,0.01859440224992449,60481,93,60388,91,38422,21966,2,0.021505376344086023,0.3637477644565145,0.6367784924191068,False
6,future_3,3,0.009470202034,0.08502377425042562,50443,246,50197,239,26250,23947,7,0.028455284552845527,0.4770603820945475,0.5251273714886109,False
6,future_4,4,0.009470202034,0.42561018272092943,36322,945,35377,884,16467,18910,61,0.06455026455026455,0.5345280832179099,0.47769946588844225,False
6,future_5,5,0.009470202034,0.1852993258838641,57437,1504,55933,1399,37877,18056,105,0.06981382978723404,0.3228147962741137,0.6838100875742118,False
7,random_test,0,0.010500372354,0.6933408703586242,38986,320,38666,315,10001,28665,5,0.015625,0.7413489887756686,0.26460780793105215,False
7,future_1,1,0.010500372354,0.1608448226008088,40662,232,40430,221,23625,16805,11,0.04741379310344827,0.4156566905763047,0.5864443460725002,False
7,future_2,2,0.010500372354,0.015464373133293522,60481,93,60388,91,36646,23742,2,0.021505376344086023,0.3931575809763529,0.6074138985797193,False
7,future_3,3,0.010500372354,0.07866413835701176,50443,246,50197,239,22293,27904,7,0.028455284552845527,0.5558897942108094,0.4466823939892552,False
7,future_4,4,0.010500372354,0.3788852977163236,36322,945,35377,878,16394,18983,67,0.07089947089947089,0.5365915707945841,0.4755244755244755,False
7,future_5,5,0.010500372354,0.14630418124442848,57437,1504,55933,1382,36788,19145,122,0.08111702127659574,0.34228451897806306,0.6645542072183436,False
8,random_test,0,0.006982541547,0.7071088681653837,38986,320,38666,317,13085,25581,3,0.009375,0.6615889929136709,0.3437644282562971,True
8,future_1,1,0.006982541547,0.1599871881613596,40662,232,40430,226,26245,14185,6,0.02586206896551724,0.35085332673757114,0.6510009345334711,False
8,future_2,2,0.006982541547,0.019064490715319328,60481,93,60388,92,39410,20978,1,0.010752688172043012,0.3473868980592171,0.6531307352722343,False
8,future_3,3,0.006982541547,0.07746282628425855,50443,246,50197,242,26227,23970,4,0.016260162601626018,0.4775185768073789,0.5247308843645303,False
8,future_4,4,0.006982541547,0.30160393953767023,36322,945,35377,898,18327,17050,47,0.04973544973544974,0.4819515504423778,0.5292935411045647,False
8,future_5,5,0.006982541547,0.1681459236639033,57437,1504,55933,1406,38740,17193,98,0.06515957446808511,0.3073856220835643,0.6989571182338911,False
9,random_test,0,0.012153681686,0.6828032184665286,38986,320,38666,315,9392,29274,5,0.015625,0.7570992603320746,0.2489868157800236,False
9,future_1,1,0.012153681686,0.16282360782416833,40662,232,40430,219,22525,17905,13,0.05603448275862069,0.44286420974523866,0.5593428754119325,False
9,future_2,2,0.012153681686,0.020739085267311868,60481,93,60388,91,32802,27586,2,0.021505376344086023,0.45681261177717425,0.543856748400324,False
9,future_3,3,0.012153681686,0.08396487904993513,50443,246,50197,239,21865,28332,7,0.028455284552845527,0.564416200171325,0.4381975695339294,False
9,future_4,4,0.012153681686,0.4389436967077459,36322,945,35377,863,14771,20606,82,0.08677248677248678,0.5824688356842016,0.4304278398766588,False
9,future_5,5,0.012153681686,0.16273613000765907,57437,1504,55933,1371,36131,19802,133,0.0884308510638298,0.35403071532011515,0.6529240733325209,False
